iteration,task_id,file_uuid,wall_elapsed,dispatch_to_preprocess_prerun,ffmpeg_start__to__ffmpeg_end,fully_indexed_duration,gpu_audio_load_start__to__gpu_audio_load_end,gpu_duration,gpu_prerun_skew,gpu_to_postprocess_gap,metadata_start__to__metadata_end,postprocess_duration,preprocess_body_duration,preprocess_duration,preprocess_to_gpu_gap,search_index_chunks_start__to__search_index_chunks_end,temp_upload_start__to__temp_upload_end,total_dispatch_to_gpu_end,total_dispatch_to_postprocess
1,9d540ae0-95ac-4a4e-8c5c-643bf32a5117,01a01a87-60a3-7000-808b-a7b9df231801,12.954,0.014967679977416992,0.4338397979736328,9.616336107254028,0.0005421638488769531,7.153035640716553,0.00048422813415527344,0.016290903091430664,0.17621493339538574,1.2273712158203125,0.5714757442474365,0.5864434242248535,0.02222752571105957,0.5585117340087891,0.012063264846801758,7.761706590652466,7.7779974937438965
2,d1c2fde2-94e0-4158-b086-32e6c6c0d8d1,01a01a87-60a3-7000-808b-a7b9df231801,6.483,0.016524553298950195,0.4411487579345703,,0.0005621910095214844,6.590938091278076,0.0003991127014160156,0.013074636459350586,0.1825847625732422,2.014158010482788,0.5660181045532227,0.5825426578521729,0.021802425384521484,,0.008526802062988281,7.1952831745147705,7.208357810974121
3,9c659f55-321b-44f8-819c-dca337e7ae84,01a01a87-60a3-7000-808b-a7b9df231801,6.425,0.015753507614135742,0.5240466594696045,,0.000644683837890625,6.462225675582886,0.00033283233642578125,0.013845682144165039,0.1787562370300293,1.8465745449066162,0.7162125110626221,0.7319660186767578,0.025971412658691406,,0.01768326759338379,7.220163106918335,7.2340087890625
