iteration,task_id,file_uuid,wall_elapsed,dispatch_to_preprocess_prerun,ffmpeg_start__to__ffmpeg_end,fully_indexed_duration,gpu_audio_load_start__to__gpu_audio_load_end,gpu_duration,gpu_prerun_skew,gpu_to_postprocess_gap,media_download_start__to__media_download_end,metadata_start__to__metadata_end,postprocess_duration,preprocess_body_duration,preprocess_duration,preprocess_to_gpu_gap,search_index_chunks_start__to__search_index_chunks_end,temp_upload_start__to__temp_upload_end,total_dispatch_to_gpu_end,total_dispatch_to_postprocess
1,a921d431-baa2-428d-93fc-4869a4b72e05,01a01aba-d9d2-7000-a027-9a0af248574f,82.631,0.9660184383392334,0.0007216930389404297,84.56001710891724,0.4165968894958496,78.11345791816711,0.00026988983154296875,0.039397239685058594,0.4333164691925049,0.2865488529205322,0.6024835109710693,2.576521396636963,3.5425398349761963,0.04595637321472168,2.17900013923645,1.172680139541626,81.70195412635803,81.74135136604309
2,7e9c67e8-8dff-408f-9df1-b5a373012bfc,01a01aba-d9d2-7000-a027-9a0af248574f,76.790,0.016286611557006836,0.0007123947143554688,,0.4015533924102783,75.40507340431213,0.0005435943603515625,0.0405271053314209,0.3877685070037842,0.2753274440765381,0.45007848739624023,2.043046236038208,2.059332847595215,0.020926713943481445,,1.084550142288208,77.48533296585083,77.52586007118225
3,589917fc-99e9-4b25-9d34-52728606b84b,01a01aba-d9d2-7000-a027-9a0af248574f,79.764,0.022426843643188477,0.0007274150848388672,,0.4091060161590576,78.18139624595642,0.00041985511779785156,0.04264569282531738,0.44049668312072754,0.2827935218811035,0.3840188980102539,2.2686784267425537,2.291105270385742,0.024338245391845703,,1.2226612567901611,80.49683976173401,80.53948545455933
