iteration,task_id,file_uuid,wall_elapsed,dispatch_to_preprocess_prerun,ffmpeg_start__to__ffmpeg_end,fully_indexed_duration,gpu_audio_load_start__to__gpu_audio_load_end,gpu_duration,gpu_prerun_skew,gpu_to_postprocess_gap,metadata_start__to__metadata_end,postprocess_duration,preprocess_body_duration,preprocess_duration,preprocess_to_gpu_gap,search_index_chunks_start__to__search_index_chunks_end,temp_upload_start__to__temp_upload_end,total_dispatch_to_gpu_end,total_dispatch_to_postprocess
1,5f4baf5b-91c5-4fc8-9f1b-83d5601d692c,01a01a87-60a3-7000-808b-a7b9df231801,10.145,0.018532276153564453,0.4340794086456299,11.050592422485352,0.03644204139709473,8.011187076568604,0.0002605915069580078,0.02026677131652832,0.17796754837036133,1.3885726928710938,0.8577256202697754,0.8762578964233398,0.021103620529174805,0.6802153587341309,0.3217182159423828,8.908548593521118,8.928815364837646
2,2e29e745-8bfb-474b-b62b-2daf3bb2b369,01a01a87-60a3-7000-808b-a7b9df231801,9.508,0.019951343536376953,0.42542052268981934,,0.0330808162689209,8.171255588531494,0.0002841949462890625,0.01705765724182129,0.1708662509918213,1.2985725402832031,0.862401008605957,0.882352352142334,0.022897958755493164,,0.31749415397644043,9.076505899429321,9.093563556671143
3,5fa2497d-e034-4af7-9e26-994db6e8b49c,01a01a87-60a3-7000-808b-a7b9df231801,9.497,0.01649332046508789,0.4089691638946533,11.754581212997437,0.03832507133483887,8.242559671401978,0.00047397613525390625,0.018990278244018555,0.16794896125793457,2.0462985038757324,0.8217980861663818,0.8382914066314697,0.0215151309967041,0.5317642688751221,0.3067786693572998,9.102366209030151,9.12135648727417
