iteration,task_id,file_uuid,wall_elapsed,dispatch_to_preprocess_prerun,ffmpeg_start__to__ffmpeg_end,gpu_audio_load_start__to__gpu_audio_load_end,gpu_duration,gpu_prerun_skew,gpu_to_postprocess_gap,metadata_start__to__metadata_end,postprocess_duration,preprocess_body_duration,preprocess_duration,preprocess_to_gpu_gap,temp_upload_start__to__temp_upload_end,total_dispatch_to_gpu_end,total_dispatch_to_postprocess
1,2d67794b-1168-45d2-8e0d-635e97c38083,019f2950-0f56-7000-80d9-e175004cc186,296.875,0.012820243835449219,7.617840766906738,0.8811295032501221,285.3020865917206,0.0006134510040283203,0.06350493431091309,0.25282716751098633,1.601919174194336,9.725000143051147,9.737820386886597,0.023610830307006836,1.935302734375,295.0635178089142,295.1270227432251
2,7cbd1905-2e74-4a0d-ab3e-210d3a24d29d,019f2950-0f56-7000-80d9-e175004cc186,296.054,0.021852970123291016,7.28296971321106,0.8630313873291016,286.0173828601837,0.00039505958557128906,0.06121706962585449,0.2684969902038574,1.7964136600494385,9.360243320465088,9.382096290588379,0.024451494216918945,1.8794405460357666,295.423930644989,295.48514771461487
3,128318fc-1497-4c15-9ff5-72fab5c4b5ec,019f2950-0f56-7000-80d9-e175004cc186,296.153,0.022663593292236328,7.8298118114471436,0.8715207576751709,287.2701895236969,0.0003330707550048828,0.062165021896362305,0.2555696964263916,1.3918962478637695,9.792742729187012,9.815406322479248,0.02321171760559082,1.7877953052520752,297.10880756378174,297.1709725856781
