iteration,task_id,file_uuid,wall_elapsed,dispatch_to_preprocess_prerun,ffmpeg_start__to__ffmpeg_end,fully_indexed_duration,gpu_audio_load_start__to__gpu_audio_load_end,gpu_duration,gpu_prerun_skew,gpu_to_postprocess_gap,metadata_start__to__metadata_end,postprocess_duration,preprocess_body_duration,preprocess_duration,preprocess_to_gpu_gap,search_index_chunks_start__to__search_index_chunks_end,temp_upload_start__to__temp_upload_end,total_dispatch_to_gpu_end,total_dispatch_to_postprocess
1,0cb82fa3-46c0-44d6-80d0-88a5e267dffc,019f2950-0f56-7000-80d9-e175004cc186,207.838,0.02081584930419922,8.100770473480225,210.37998223304749,0.7778127193450928,196.41994380950928,0.0005826950073242188,0.06591057777404785,0.2480628490447998,0.8879880905151367,10.175719738006592,10.196535587310791,0.021662235260009766,2.738492727279663,1.915095329284668,206.63814163208008,206.70405220985413
2,a429f9d9-d1e4-46f6-abdc-93a0a4b9d43d,019f2950-0f56-7000-80d9-e175004cc186,207.595,0.01867842674255371,8.593239307403564,,0.8219678401947021,197.13316988945007,0.0003266334533691406,0.07244181632995605,0.24940133094787598,1.875032663345337,10.968849420547485,10.987527847290039,0.02797865867614746,,2.1596813201904297,208.14867639541626,208.22111821174622
3,e9340730-9a57-4e84-8b0d-494c6d8f9d5c,019f2950-0f56-7000-80d9-e175004cc186,207.884,0.021512269973754883,7.866218328475952,210.25939393043518,0.8680179119110107,196.28920006752014,0.0003154277801513672,0.05871129035949707,0.23766803741455078,1.1383540630340576,10.054386615753174,10.075898885726929,0.025600671768188477,2.6352386474609375,1.9912919998168945,206.39069962501526,206.44941091537476
